,dataset,scenario,model,f1,f1,accuracy,accuracy,precision,precision,recall,recall,detection_rate,detection_rate,mapping_accuracy,mapping_accuracy,unseen_window_count,train_time_sec,inference_time_sec,state_count,density
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean,mean,mean
31,BATADAL_CHRON,Original,Automata_W6_A3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0021530628204345704,1.5512662887573243,225.0,0.005728395061728395
32,BATADAL_CHRON,Original,Automata_W6_A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.002328824996948242,2.8514615058898927,314.0,0.003620836545093107
33,BATADAL_CHRON,Original,Automata_W6_A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0023867130279541016,3.8071938037872313,375.0,0.0028017777777777776
34,BATADAL_CHRON,Original,Automata_W6_A6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0023217201232910156,3.871688652038574,393.0,0.002602800924577045
35,BATADAL_CHRON,Original,CNN1D,0.0,0.0,0.9039615846338535,0.0,0.0,0.0,0.0,0.0,,,,,,9.113912677764892,0.023744535446166993,,
36,BATADAL_CHRON,Original,GRU,0.0,0.0,0.9039615846338535,0.0,0.0,0.0,0.0,0.0,,,,,,4.7762706756591795,0.041807937622070315,,
37,BATADAL_CHRON,Original,LSTM,0.0,0.0,0.9039615846338535,0.0,0.0,0.0,0.0,0.0,,,,,,4.549614095687867,0.0358487606048584,,
38,BATADAL_CHRON,Unseen,Automata_W3_A3,0.0,0.0,0.8175182481751826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002036762237548828,0.0005261898040771484,27.0,0.0877914951989026
39,BATADAL_CHRON,Unseen,Automata_W3_A4,0.0,0.0,0.6715328467153284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.002193307876586914,0.003762483596801758,58.0,0.0469678953626635
40,BATADAL_CHRON,Unseen,Automata_W3_A5,0.0,0.0,0.46715328467153283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,23.0,0.002270078659057617,0.009759950637817382,105.0,0.025034013605442173
41,BATADAL_CHRON,Unseen,Automata_W3_A6,0.0,0.0,0.3722627737226277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,50.0,0.0023436546325683594,0.032800817489624025,166.0,0.015132820438380027
42,BATADAL_CHRON,Unseen,Automata_W4_A3,0.0,0.0,0.625615763546798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,25.0,0.0023508071899414062,0.013703298568725587,71.0,0.026383654036897443
