accuracy,precision,recall,f1,state_count,density,train_time_sec,inference_time_sec,unseen_window_count,detection_rate,mapping_accuracy,direction,train_dataset,test_dataset,model,window,alphabet,seed
0.0049261083743842365,0.0,0.0,0.0,88,0.021177685950413222,0.030003786087036133,0.3959054946899414,203,0.0,0.0049261083743842365,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W4_A5,4,5,123
0.0,0.0,0.0,0.0,102,0.018166089965397925,0.02900838851928711,0.4606349468231201,203,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W4_A6,4,6,123
0.0,0.0,0.0,0.0,68,0.025086505190311418,0.027994632720947266,0.4660019874572754,159,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W5_A3,5,3,123
0.0,0.0,0.0,0.0,121,0.015299501400177584,0.029988527297973633,0.8431282043457031,159,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W5_A4,5,4,123
0.006289308176100629,0.0,0.0,0.0,162,0.01047858558146624,0.029098987579345703,1.1266694068908691,159,0.0,0.006289308176100629,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W5_A5,5,5,123
0.0,0.0,0.0,0.0,195,0.008783694937541092,0.030002593994140625,1.3473331928253174,159,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W5_A6,5,6,123
0.0,0.0,0.0,0.0,106,0.014773940904236383,0.02805495262145996,1.0324578285217285,129,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W6_A3,6,3,123
0.0,0.0,0.0,0.0,206,0.007870675841266848,0.031944990158081055,2.015028476715088,129,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W6_A4,6,4,123
0.0,0.0,0.0,0.0,269,0.005707494368513426,0.02890467643737793,2.605344295501709,129,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W6_A5,6,5,123
0.0,0.0,0.0,0.0,300,0.005177777777777778,0.029000043869018555,2.883056879043579,129,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W6_A6,6,6,123
0.6154154421586963,0.48345398138572904,0.3321492007104796,0.3937671088650242,27,0.0877914951989026,0.0020453929901123047,0.009053945541381836,0,0.0,0.0,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W3_A3,3,3,123
0.6239647341704515,0.5,0.08454706927175844,0.14463688848374354,58,0.0469678953626635,0.001999378204345703,0.2710120677947998,456,1.0,0.5087719298245614,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W3_A4,3,4,123
0.3840502270905691,0.37752318603382434,0.983303730017762,0.5455799743766631,105,0.025034013605442176,0.001999378204345703,0.40590858459472656,381,1.0,0.4120734908136483,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W3_A5,3,5,123
0.6084691423991451,0.47282099343955014,0.358436944937833,0.4077591432612649,166,0.015132820438380027,0.0020592212677001953,2.9389595985412598,1873,1.0,0.4858515750133476,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W3_A6,3,6,123
0.3585174625801853,0.35789473684210527,0.9995017438963627,0.5270625328428796,71,0.02638365403689744,0.0010004043579101562,7.532181739807129,4640,1.0,0.4084051724137931,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W4_A3,4,3,123
0.35780470420527444,0.3576902512921048,1.0,0.5269099501181412,153,0.01114955786236063,0.002003908157348633,20.764288187026978,5612,1.0,0.35780470420527444,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W4_A4,4,4,123
0.3576265146115467,0.3576265146115467,1.0,0.5268407927549548,259,0.005784052116098448,0.0020003318786621094,35.61954379081726,5612,1.0,0.3576265146115467,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W4_A5,4,5,123
0.35780470420527444,0.3576902512921048,1.0,0.5269099501181412,361,0.003775293314201088,0.0021305084228515625,52.68639087677002,5612,1.0,0.35780470420527444,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W4_A6,4,6,123
0.35934016941596075,0.35934016941596075,1.0,0.52869793374877,127,0.012338024676049351,0.001999378204345703,32.59744095802307,4486,1.0,0.35934016941596075,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W5_A3,5,3,123
0.35934016941596075,0.35934016941596075,1.0,0.52869793374877,268,0.0048451770995767435,0.002000093460083008,62.19452691078186,4486,1.0,0.35934016941596075,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W5_A4,5,4,123
0.35934016941596075,0.35934016941596075,1.0,0.52869793374877,355,0.0033802816901408453,0.0010020732879638672,73.31739664077759,4486,1.0,0.35934016941596075,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W5_A5,5,5,123
0.35934016941596075,0.35934016941596075,1.0,0.52869793374877,428,0.002593021224561097,0.0019986629486083984,96.05966401100159,4486,1.0,0.35934016941596075,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W5_A6,5,6,123
0.3684069611780455,0.3684069611780455,1.0,0.5384464879671297,225,0.005728395061728395,0.0010025501251220703,72.14554929733276,3735,1.0,0.3684069611780455,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W6_A3,6,3,123
0.3684069611780455,0.3684069611780455,1.0,0.5384464879671297,314,0.003620836545093107,0.001984834671020508,101.01795840263367,3735,1.0,0.3684069611780455,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W6_A4,6,4,123
0.3684069611780455,0.3684069611780455,1.0,0.5384464879671297,375,0.0028017777777777776,0.00399470329284668,119.95711016654968,3735,1.0,0.3684069611780455,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W6_A5,6,5,123
0.3684069611780455,0.3684069611780455,1.0,0.5384464879671297,393,0.002602800924577045,0.0020258426666259766,123.67899703979492,3735,1.0,0.3684069611780455,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W6_A6,6,6,123
0.043795620437956206,0.0,0.0,0.0,17,0.11764705882352941,0.037999868392944336,0.026998519897460938,221,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W3_A3,3,3,2026
0.072992700729927,0.0,0.0,0.0,32,0.0615234375,0.03599834442138672,0.048000335693359375,230,0.0,0.06521739130434782,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W3_A4,3,4,2026
0.0,0.0,0.0,0.0,41,0.049970255800118976,0.040000200271606445,0.08035159111022949,249,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W3_A5,3,5,2026
