accuracy,precision,recall,f1,train_time_sec,inference_time_sec,dataset,scenario,model,seed,state_count,density,unseen_window_count,detection_rate,mapping_accuracy,window,alphabet
0.6327913279132791,0.81,0.24324324324324326,0.3741339491916859,0.00859832763671875,0.3795197010040283,SKAB_Fold2,Unseen,Automata_W6_A5,123,140.0,0.009693877551020408,73.0,1.0,0.8082191780821918,6.0,5.0
0.5745257452574526,0.620253164556962,0.14714714714714713,0.23786407766990292,0.008766889572143555,0.19856047630310059,SKAB_Fold2,Unseen,Automata_W6_A6,123,186.0,0.007226268932824604,38.0,1.0,0.5526315789473685,6.0,6.0
0.5850779510022271,0.35225225225225226,0.2547231270358306,0.2956521739130435,14.757927894592285,0.18234014511108398,SKAB_Fold2,Original,LSTM,2026,,,,,,,
0.6360801781737194,0.4371029224904701,0.2241042345276873,0.2962962962962963,24.563409090042114,0.21587896347045898,SKAB_Fold2,Original,GRU,2026,,,,,,,
0.6418708240534521,0.336322869955157,0.048859934853420196,0.08532423208191127,7.864418029785156,0.11107444763183594,SKAB_Fold2,Original,CNN1D,2026,,,,,,,
0.5445411922304085,0.0,0.0,0.0,0.010048389434814453,0.00275421142578125,SKAB_Fold2,Original,Automata_W3_A3,2026,17.0,0.11764705882352941,0.0,0.0,0.0,3.0,3.0
0.5867381111855325,0.35294117647058826,0.05067567567567568,0.08862629246676514,0.010236740112304688,0.003336668014526367,SKAB_Fold2,Original,Automata_W3_A4,2026,25.0,0.08,4.0,0.0,0.25,3.0,4.0
0.5840589417280643,0.29577464788732394,0.03547297297297297,0.06334841628959276,0.0102081298828125,0.002796649932861328,SKAB_Fold2,Original,Automata_W3_A5,2026,31.0,0.061394380853277836,0.0,0.0,0.0,3.0,5.0
0.5833891493636972,0.25806451612903225,0.02702702702702703,0.04892966360856269,0.010215282440185547,0.002752065658569336,SKAB_Fold2,Original,Automata_W3_A6,2026,40.0,0.05125,0.0,0.0,0.0,3.0,6.0
0.6723366159355416,0.24615384615384617,0.04804804804804805,0.08040201005025126,0.009524106979370117,0.0025734901428222656,SKAB_Fold2,Original,Automata_W4_A3,2026,34.0,0.050173010380622836,0.0,0.0,0.0,4.0,3.0
0.6965085049239033,0.44,0.06606606606606606,0.11488250652741515,0.009308338165283203,0.0052525997161865234,SKAB_Fold2,Original,Automata_W4_A4,2026,52.0,0.03550295857988166,5.0,0.0,0.0,4.0,4.0
0.6741271262309758,0.2459016393442623,0.04504504504504504,0.07614213197969544,0.009440183639526367,0.0071620941162109375,SKAB_Fold2,Original,Automata_W4_A5,2026,59.0,0.030163746049985635,6.0,0.0,0.16666666666666666,4.0,5.0
0.7009847806624888,0.49230769230769234,0.0960960960960961,0.16080402010050251,0.00968623161315918,0.011045455932617188,SKAB_Fold2,Original,Automata_W4_A6,2026,81.0,0.022252705380277397,10.0,1.0,0.5,4.0,6.0
0.6235955056179775,0.48148148148148145,0.07807807807807808,0.1343669250645995,0.009002923965454102,0.011996746063232422,SKAB_Fold2,Original,Automata_W5_A3,2026,48.0,0.029513888888888888,18.0,1.0,0.6666666666666666,5.0,3.0
0.6573033707865169,0.7692307692307693,0.12012012012012012,0.2077922077922078,0.008989810943603516,0.03024911880493164,SKAB_Fold2,Original,Automata_W5_A4,2026,97.0,0.016686151557019874,18.0,1.0,0.6666666666666666,5.0,4.0
0.6943820224719102,0.7961165048543689,0.24624624624624625,0.3761467889908257,0.008967399597167969,0.09735536575317383,SKAB_Fold2,Original,Automata_W5_A5,2026,103.0,0.015270053727966821,61.0,0.9130434782608695,0.7049180327868853,5.0,5.0
0.6269662921348315,0.5087719298245614,0.08708708708708708,0.14871794871794872,0.008949518203735352,0.05518746376037598,SKAB_Fold2,Original,Automata_W5_A6,2026,137.0,0.010975544781288295,26.0,1.0,0.5769230769230769,5.0,6.0
0.5948509485094851,0.8863636363636364,0.11711711711711711,0.20689655172413793,0.00861978530883789,0.02476215362548828,SKAB_Fold2,Original,Automata_W6_A3,2026,68.0,0.018598615916955018,14.0,1.0,1.0,6.0,3.0
0.6314363143631436,0.8961038961038961,0.2072072072072072,0.33658536585365856,0.008677005767822266,0.11110258102416992,SKAB_Fold2,Original,Automata_W6_A4,2026,134.0,0.010637112942748942,30.0,1.0,0.7333333333333333,6.0,4.0
0.6327913279132791,0.81,0.24324324324324326,0.3741339491916859,0.008658170700073242,0.37691378593444824,SKAB_Fold2,Original,Automata_W6_A5,2026,140.0,0.009693877551020408,73.0,1.0,0.8082191780821918,6.0,5.0
0.5745257452574526,0.620253164556962,0.14714714714714713,0.23786407766990292,0.008841514587402344,0.19751930236816406,SKAB_Fold2,Original,Automata_W6_A6,2026,186.0,0.007226268932824604,38.0,1.0,0.5526315789473685,6.0,6.0
0.6583518930957684,1.0,0.0006514657980456026,0.0013020833333333333,14.723288536071777,0.1840372085571289,SKAB_Fold2,Gaussian_Noise,LSTM,2026,,,,,,,
0.577728285077951,0.38117182356813695,0.3771986970684039,0.3791748526522593,18.39105248451233,0.21511340141296387,SKAB_Fold2,Gaussian_Noise,GRU,2026,,,,,,,
0.5748329621380847,0.3813451776649746,0.39153094462540716,0.38637094181935067,7.884428024291992,0.1108541488647461,SKAB_Fold2,Gaussian_Noise,CNN1D,2026,,,,,,,
0.4012056262558607,0.24054982817869416,0.23648648648648649,0.23850085178875638,0.010056495666503906,0.0050716400146484375,SKAB_Fold2,Gaussian_Noise,Automata_W3_A3,2026,17.0,0.11764705882352941,25.0,0.0,0.0,3.0,3.0
0.4286671131949096,0.22526315789473683,0.18074324324324326,0.20056232427366447,0.010516643524169922,0.019962549209594727,SKAB_Fold2,Gaussian_Noise,Automata_W3_A4,2026,25.0,0.08,112.0,0.8888888888888888,0.07142857142857142,3.0,4.0
0.3924983255190891,0.21723518850987433,0.20439189189189189,0.21061792863359444,0.010051965713500977,0.07018637657165527,SKAB_Fold2,Gaussian_Noise,Automata_W3_A5,2026,31.0,0.061394380853277836,330.0,0.875,0.18787878787878787,3.0,5.0
0.41192230408573344,0.26480263157894735,0.2719594594594595,0.2683333333333333,0.010334491729736328,0.13709330558776855,SKAB_Fold2,Gaussian_Noise,Automata_W3_A6,2026,40.0,0.05125,482.0,0.7898550724637681,0.3257261410788382,3.0,6.0
0.6589077887197852,0.44545454545454544,0.5885885885885885,0.5071151358344114,0.009461641311645508,0.0042705535888671875,SKAB_Fold2,Gaussian_Noise,Automata_W4_A3,2026,34.0,0.050173010380622836,8.0,0.0,0.0,4.0,3.0
0.6624888093106536,0.4126984126984127,0.3123123123123123,0.35555555555555557,0.009121417999267578,0.051660776138305664,SKAB_Fold2,Gaussian_Noise,Automata_W4_A4,2026,52.0,0.03550295857988166,70.0,0.896551724137931,0.42857142857142855,4.0,4.0
0.5899731423455685,0.34793187347931875,0.4294294294294294,0.3844086021505376,0.00940561294555664,0.18639659881591797,SKAB_Fold2,Gaussian_Noise,Automata_W4_A5,2026,59.0,0.030163746049985635,247.0,0.8490566037735849,0.4291497975708502,4.0,5.0
0.6141450313339302,0.41887417218543044,0.7597597597597597,0.5400213447171825,0.009423017501831055,0.5748579502105713,SKAB_Fold2,Gaussian_Noise,Automata_W4_A6,2026,81.0,0.022252705380277397,478.0,0.8959276018099548,0.45188284518828453,4.0,6.0
0.7134831460674157,0.6226415094339622,0.5945945945945946,0.6082949308755761,0.008691549301147461,0.07469868659973145,SKAB_Fold2,Gaussian_Noise,Automata_W5_A3,2026,48.0,0.029513888888888888,94.0,1.0,0.6914893617021277,5.0,3.0
0.7146067415730337,0.6253968253968254,0.5915915915915916,0.6080246913580247,0.008741378784179688,0.17954015731811523,SKAB_Fold2,Gaussian_Noise,Automata_W5_A4,2026,97.0,0.016686151557019874,91.0,0.9607843137254902,0.5934065934065934,5.0,4.0
0.6224719101123596,0.4962962962962963,0.6036036036036037,0.5447154471544715,0.009165525436401367,0.8401541709899902,SKAB_Fold2,Gaussian_Noise,Automata_W5_A5,2026,103.0,0.015270053727966821,358.0,0.8834355828220859,0.44972067039106145,5.0,5.0
0.6561797752808989,0.5255198487712666,0.8348348348348348,0.6450116009280742,0.00893545150756836,1.6131267547607422,SKAB_Fold2,Gaussian_Noise,Automata_W5_A6,2026,137.0,0.010975544781288295,424.0,0.9411764705882353,0.5636792452830188,5.0,6.0
0.8238482384823849,0.8637992831541219,0.7237237237237237,0.7875816993464052,0.008427858352661133,0.43413662910461426,SKAB_Fold2,Gaussian_Noise,Automata_W6_A3,2026,68.0,0.018598615916955018,181.0,0.9807692307692307,0.850828729281768,6.0,3.0
0.8360433604336044,0.7944444444444444,0.8588588588588588,0.8253968253968254,0.008761882781982422,1.4360666275024414,SKAB_Fold2,Gaussian_Noise,Automata_W6_A4,2026,134.0,0.010637112942748942,285.0,0.9838709677419355,0.8596491228070176,6.0,4.0
0.7520325203252033,0.6794258373205742,0.8528528528528528,0.7563249001331558,0.008847713470458984,2.3536906242370605,SKAB_Fold2,Gaussian_Noise,Automata_W6_A5,2026,140.0,0.009693877551020408,380.0,0.9576923076923077,0.6552631578947369,6.0,5.0
0.6747967479674797,0.5902912621359223,0.9129129129129129,0.7169811320754716,0.008797168731689453,4.213290214538574,SKAB_Fold2,Gaussian_Noise,Automata_W6_A6,2026,186.0,0.007226268932824604,451.0,0.9865319865319865,0.656319290465632,6.0,6.0
0.5902004454342984,0.3702127659574468,0.28338762214983715,0.3210332103321033,14.676389217376709,0.1826035976409912,SKAB_Fold2,Unseen,LSTM,2026,,,,,,,
0.589086859688196,0.36498257839721254,0.2729641693811075,0.31233693626537457,18.43205761909485,0.21641993522644043,SKAB_Fold2,Unseen,GRU,2026,,,,,,,
0.6581291759465479,0.0,0.0,0.0,7.8625898361206055,0.11118006706237793,SKAB_Fold2,Unseen,CNN1D,2026,,,,,,,
0.5445411922304085,0.0,0.0,0.0,0.01013040542602539,0.0027718544006347656,SKAB_Fold2,Unseen,Automata_W3_A3,2026,17.0,0.11764705882352941,0.0,0.0,0.0,3.0,3.0
0.5867381111855325,0.35294117647058826,0.05067567567567568,0.08862629246676514,0.010219335556030273,0.0033965110778808594,SKAB_Fold2,Unseen,Automata_W3_A4,2026,25.0,0.08,4.0,0.0,0.25,3.0,4.0
0.5840589417280643,0.29577464788732394,0.03547297297297297,0.06334841628959276,0.010125398635864258,0.002746105194091797,SKAB_Fold2,Unseen,Automata_W3_A5,2026,31.0,0.061394380853277836,0.0,0.0,0.0,3.0,5.0
0.5833891493636972,0.25806451612903225,0.02702702702702703,0.04892966360856269,0.010066032409667969,0.0027589797973632812,SKAB_Fold2,Unseen,Automata_W3_A6,2026,40.0,0.05125,0.0,0.0,0.0,3.0,6.0
0.6723366159355416,0.24615384615384617,0.04804804804804805,0.08040201005025126,0.009351253509521484,0.00251007080078125,SKAB_Fold2,Unseen,Automata_W4_A3,2026,34.0,0.050173010380622836,0.0,0.0,0.0,4.0,3.0
0.6965085049239033,0.44,0.06606606606606606,0.11488250652741515,0.009307384490966797,0.005142688751220703,SKAB_Fold2,Unseen,Automata_W4_A4,2026,52.0,0.03550295857988166,5.0,0.0,0.0,4.0,4.0
0.6741271262309758,0.2459016393442623,0.04504504504504504,0.07614213197969544,0.009443283081054688,0.0070841312408447266,SKAB_Fold2,Unseen,Automata_W4_A5,2026,59.0,0.030163746049985635,6.0,0.0,0.16666666666666666,4.0,5.0
0.7009847806624888,0.49230769230769234,0.0960960960960961,0.16080402010050251,0.009593963623046875,0.010797977447509766,SKAB_Fold2,Unseen,Automata_W4_A6,2026,81.0,0.022252705380277397,10.0,1.0,0.5,4.0,6.0
0.6235955056179775,0.48148148148148145,0.07807807807807808,0.1343669250645995,0.00863790512084961,0.011705875396728516,SKAB_Fold2,Unseen,Automata_W5_A3,2026,48.0,0.029513888888888888,18.0,1.0,0.6666666666666666,5.0,3.0
0.6573033707865169,0.7692307692307693,0.12012012012012012,0.2077922077922078,0.009005308151245117,0.03014373779296875,SKAB_Fold2,Unseen,Automata_W5_A4,2026,97.0,0.016686151557019874,18.0,1.0,0.6666666666666666,5.0,4.0
0.6943820224719102,0.7961165048543689,0.24624624624624625,0.3761467889908257,0.008987903594970703,0.09579634666442871,SKAB_Fold2,Unseen,Automata_W5_A5,2026,103.0,0.015270053727966821,61.0,0.9130434782608695,0.7049180327868853,5.0,5.0
